Name,Year,Engine,Fuel,Transmission,Driven_KM,No_of_Owner,Location, Price 
Mercedes-Benz New C-Class C250 Avantgarde,2011,1796 CC,Petrol,Automatic,45000,Second,Mumbai,13.5
Maruti Wagon R LXI CNG,2014,998 CC,CNG,Manual,40000,Second,Mumbai,3.15
Maruti Alto LXi,2012,796 CC,Petrol,Manual,49008,First,Coimbatore,2.88
Maruti Alto 800 2016-2019 LXI,2016,796 CC,Petrol,Manual,31000,First,Kolkata,2.15
Nissan Sunny 2011-2014 XV,2013,1498 CC,Petrol,Manual,8000,First,Pune,3.75
Maruti Alto 800 2016-2019 VXI,2019,796 CC,Petrol,Manual,171,First,Mumbai,3.6
Maruti Alto K10 VXI,2018,998 CC,Petrol,Manual,2100,First,Kolkata,3.6
Hyundai Grand i10 1.2 Kappa Sportz AT,2018,1197 CC,Petrol,Automatic,20667,First,Coimbatore,7.55
Honda Mobilio S i DTEC,2015,1498 CC,Diesel,Manual,50000,First,Kolkata,4.7
Tata Manza Aqua Quadrajet,2010,1248 CC,Diesel,Manual,100030,Second,Jaipur,1.6
Chevrolet Optra Magnum 2.0 LT,2011,1991 CC,Diesel,Manual,75372,First,Pune,3.34
Honda City i VTEC CVT VX,2016,1497 CC,Petrol,Automatic,60475,First,Kochi,9.1
Hyundai Grand i10 1.2 Kappa Sportz,2019,1197 CC,Petrol,Manual,18453,First,Kochi,6.17
Hyundai Verna CRDi 1.6 SX,2008,1582 CC,Diesel,Manual,96578,First,Hyderabad,2.5
Nissan Micra XL,2016,1198 CC,Petrol,Manual,31001,First,Kolkata,3
Hyundai Verna 1.6 SX,2012,1582 CC,Diesel,Manual,65900,First,Jaipur,5.75
Hyundai Creta 1.6 VTVT E Plus,2017,1591 CC,Petrol,Manual,26246,First,Bangalore,10.75
Maruti Wagon R VXI BS IV,2013,998 CC,Petrol,Manual,62700,Second,Jaipur,2.85
Honda Accord 2.4 Elegance A/T,2008,2354 CC,Petrol,Automatic,90000,First,Chennai,6.5
Honda City 1.5 S AT,2016,1497 CC,Petrol,Automatic,36000,First,Bangalore,9.45
Maruti Baleno Alpha 1.3,2016,1248 CC,Diesel,Manual,46000,First,Delhi,6.75
Honda City i DTec V,2017,1498 CC,Diesel,Manual,73003,First,Coimbatore,7.75
Hyundai i20 Era 1.4 CRDi,2014,1396 CC,Diesel,Manual,46566,First,Kochi,4.4
Mercedes-Benz E-Class 2015-2017 E350 Edition E,2015,2987 CC,Diesel,Automatic,41493,First,Jaipur,42
Nissan Terrano XV 110 PS,2014,1461 CC,Diesel,Manual,103788,First,Kochi,5.67
Renault Duster 110PS Diesel RxZ AMT,2016,1461 CC,Diesel,Automatic,45000,First,Bangalore,11.5
Maruti Wagon R LXI Minor,2009,998 CC,Petrol,Manual,120000,First,Pune,1.69
Hyundai Getz 1.5 CRDi GVS,2009,1493 CC,Diesel,Manual,97359,Second,Jaipur,1.8
Maruti Ritz LXi,2016,1197 CC,Petrol,Manual,62000,First,Mumbai,3.2
Honda City 1.5 GXI,2004,,Petrol,Manual,115000,Second,Pune,1.5
BMW 5 Series 520d Sport Line,2019,1995 CC,Diesel,Automatic,18373,First,Kochi,45.86
Volkswagen Polo 1.2 MPI Highline,2016,1198 CC,Petrol,Manual,60453,First,Hyderabad,5.1
Maruti Swift VDI BSIV,2013,1248 CC,Diesel,Manual,37000,First,Pune,4.85
Ford Figo Petrol ZXI,2010,1196 CC,Petrol,Manual,69009,Second,Mumbai,2.4
BMW 3 Series 320d Luxury Line,2013,1995 CC,Diesel,Automatic,30000,First,Hyderabad,22
Hyundai Verna 1.6 SX CRDi (O),2012,1582 CC,Diesel,Manual,70707,First,Delhi,4.28
Renault Duster 85PS Diesel RxL,2015,1461 CC,Diesel,Manual,64677,First,Coimbatore,5.67
Hyundai Grand i10 1.2 Kappa Magna AT,2018,1197 CC,Petrol,Automatic,3000,First,Bangalore,6.2
BMW X1 sDrive20d,2013,1995 CC,Diesel,Automatic,49000,Second,Bangalore,14.49
Maruti Ritz VDi,2010,1248 CC,Diesel,Manual,71000,First,Pune,3
Hyundai i10 Era 1.1 iTech SE,2010,1086 CC,Petrol,Manual,52000,Second,Jaipur,2.25
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,2016,2993 CC,Diesel,Automatic,35659,First,Kochi,43.78
Honda City V MT Exclusive,2019,1497 CC,Petrol,Manual,5377,First,Kochi,11.45
Mahindra Ssangyong Rexton RX7,2014,2696 CC,Diesel,Automatic,65000,First,Delhi,10.5
Ford Ecosport 1.5 DV5 MT Titanium Optional,2015,1498 CC,Diesel,Manual,92708,First,Coimbatore,7.48
Maruti Alto LXi,2010,796 CC,Petrol,Manual,48105,First,Coimbatore,3.1
Volkswagen Polo 1.2 MPI Highline,2011,1198 CC,Petrol,Manual,46759,First,Mumbai,2.55
Volkswagen Polo Diesel Comfortline 1.2L,2013,1199 CC,Diesel,Manual,62000,First,Jaipur,3.5
Volkswagen Polo Diesel Highline 1.2L,2012,1199 CC,Diesel,Manual,35175,First,Kolkata,2.59
Maruti Ertiga ZDI,2013,1248 CC,Diesel,Manual,70000,First,Kolkata,5.45
Ford EcoSport 1.5 TDCi Ambiente,2017,1498 CC,Diesel,Manual,30000,First,Kolkata,6
Toyota Innova Crysta 2.8 ZX AT,2016,2755 CC,Diesel,Automatic,66618,First,Kolkata,15.49
BMW 5 Series 523i Sedan,2010,2497 CC,Petrol,Automatic,69300,Second,Mumbai,12.5
Maruti Swift Dzire Tour LDI,2017,1248 CC,Diesel,Manual,148000,First,Kolkata,4.75
Ford Ecosport 1.0 Ecoboost Platinum Edition,2017,999 CC,Petrol,Manual,22000,First,Mumbai,7.85
Hyundai Verna CRDi SX,2013,1493 CC,Diesel,Manual,75000,First,Ahmedabad,6
Tata Zest Revotron 1.2T XM,2016,1193 CC,Petrol,Manual,43706,First,Mumbai,4
Audi A7 2011-2015 3.0 TDI Quattro,2011,2967 CC,Diesel,Automatic,42000,First,Mumbai,28.75
Tata Indica Vista Quadrajet VX,2012,1248 CC,Diesel,Manual,65000,First,Pune,2.5
Maruti Swift Dzire VDI,2015,1248 CC,Diesel,Manual,76128,First,Delhi,5.5
Fiat Linea Emotion,2010,1368 CC,Petrol,Manual,39852,First,Kolkata,1.59
Hyundai i20 1.2 Spotz,2017,1197 CC,Petrol,Manual,18673,First,Mumbai,6.22
Hyundai EON Era Plus,2016,814 CC,Petrol,Manual,11583,First,Kolkata,2.75
Hyundai Santro Xing XL,2007,1086 CC,Petrol,Manual,82000,Second,Chennai,1.35
Mercedes-Benz GLA Class 200 CDI SPORT,2017,2143 CC,Diesel,Automatic,50000,First,Pune,25
Maruti Celerio VXI,2014,998 CC,Petrol,Manual,77000,First,Delhi,2.8
Chevrolet Beat LT,2014,1199 CC,Petrol,Manual,54890,Second,Mumbai,2.45
Honda Jazz 1.2 V AT i VTEC Privilege,2016,1199 CC,Petrol,Automatic,21000,First,Pune,6.35
BMW 3 Series 320d Highline,2009,1995 CC,Diesel,Automatic,58557,Third,Mumbai,8
Renault Duster 110PS Diesel RxL,2014,1461 CC,Diesel,Manual,70000,First,Bangalore,8.25
Ford Figo 2015-2019 1.5P Titanium AT,2017,1499 CC,Petrol,Automatic,16000,First,Mumbai,5.95
Toyota Innova Crysta 2.4 VX MT,2018,2393 CC,Diesel,Manual,8899,First,Kochi,19.92
Chevrolet Beat Diesel LS,2016,936 CC,Diesel,Manual,83629,First,Kochi,3.15
Volkswagen Polo GTI,2014,1798 CC,Petrol,Automatic,35059,First,Chennai,5.75
Ford Endeavour 3.2 Trend AT 4X4,2018,3198 CC,Diesel,Automatic,30552,First,Kochi,32.44
Hyundai Verna 1.6 SX CRDI (O) AT,2016,1582 CC,Diesel,Automatic,44875,Second,Kochi,8.01
Ford Figo 2015-2019 1.2P Titanium Opt MT,2017,1196 CC,Petrol,Manual,25095,First,Coimbatore,6.48
Maruti 800 AC,2007,796 CC,Petrol,Manual,59000,First,Jaipur,0.75
Honda City i DTEC V,2014,1498 CC,Diesel,Manual,36000,First,Kolkata,5
Mahindra XUV500 W8 2WD,2012,2179 CC,Diesel,Manual,37000,First,Mumbai,7.75
Ford Figo Diesel ZXI,2010,1399 CC,Diesel,Manual,90000,First,Chennai,2.6
Ford EcoSport 1.5 Petrol Titanium,2018,1497 CC,Petrol,Manual,17000,First,Pune,9.2
Hyundai i20 Asta 1.2,2015,1197 CC,Petrol,Manual,42575,First,Mumbai,5.05
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2012,2494 CC,Diesel,Manual,131000,First,Hyderabad,9.6
Renault Duster 85PS Diesel RxL Optional,2013,1461 CC,Diesel,Manual,74000,First,Mumbai,5.5
Toyota Innova 2.5 VX (Diesel) 8 Seater,2013,2494 CC,Diesel,Manual,47234,First,Mumbai,9.35
Honda City 1.5 S MT,2009,1497 CC,Petrol,Manual,231673,First,Delhi,2.6
Maruti Alto K10 VXI,2016,998 CC,Petrol,Manual,10000,First,Hyderabad,3.5
Nissan Micra Active XL Petrol,2016,1198 CC,Petrol,Manual,49389,First,Kochi,4.26
Maruti Celerio VXI AT,2016,998 CC,Petrol,Automatic,12000,Second,Chennai,4.25
Mercedes-Benz New C-Class 200 Kompressor,2010,1796 CC,Petrol,Manual,65000,Second,Hyderabad,11.75
Ford Fiesta Diesel Style,2013,1498 CC,Diesel,Manual,177000,First,Chennai,3.5
Hyundai Verna 1.6 VTVT S,2015,1591 CC,Petrol,Manual,89000,First,Jaipur,7.5
Hyundai i20 1.4 Asta (AT),2009,1396 CC,Petrol,Automatic,72000,Third,Chennai,3.25
Maruti Swift Dzire VXi,2012,1298 CC,Petrol,Manual,49000,First,Chennai,4.9
Mercedes-Benz New C-Class C 220CDIBE Avantgarde Command,2014,2143 CC,Diesel,Automatic,51355,First,Hyderabad,27
Hyundai Elite i20 Petrol Asta,2017,1197 CC,Petrol,Manual,13460,First,Kochi,8.91
Hyundai Verna 1.6 VTVT EX AT,2014,1591 CC,Petrol,Automatic,35642,First,Kochi,6.69
Chevrolet Cruze LTZ,2014,1998 CC,Diesel,Manual,52895,First,Kochi,6.02
Toyota Corolla Altis 1.8 G,2010,1798 CC,Petrol,Manual,93000,First,Mumbai,4.5
Maruti A-Star Vxi,2011,998 CC,Petrol,Manual,70000,First,Pune,2
Nissan Micra Diesel XV Premium,2012,1461 CC,Diesel,Manual,32048,First,Kolkata,2.4
Tata Nano LX,2013,624 CC,Petrol,Manual,4700,First,Pune,1.2
Maruti Swift Dzire Tour LDI,2014,1248 CC,Diesel,Manual,71800,First,Delhi,2.9
Land Rover Range Rover Sport 2005 2012 Sport,2008,,Petrol,Manual,69078,First,Coimbatore,40.88
Audi Q3 2.0 TDI Quattro,2016,1968 CC,Diesel,Automatic,45000,First,Ahmedabad,27
Honda Amaze VX i-DTEC,2016,1498 CC,Diesel,Manual,15388,First,Chennai,7.5
Chevrolet Optra 1.6 LS,2004,1599 CC,Petrol,Manual,98798,First,Mumbai,1.5
Audi Q5 2.0 TDI Premium Plus,2016,1968 CC,Diesel,Automatic,43000,First,Hyderabad,39.5
Maruti Ritz VDi,2012,1248 CC,Diesel,Manual,85112,First,Hyderabad,3.39
Mahindra Scorpio S6 7 Seater,2018,2179 CC,Diesel,Manual,37804,First,Kochi,12.4
Maruti Ciaz ZDi SHVS,2014,1248 CC,Diesel,Manual,45000,First,Chennai,6.85
Toyota Corolla Altis Aero D 4D J,2011,1364 CC,Diesel,Manual,116000,Second,Pune,5.75
Tata Indica V2 eLS,2015,1396 CC,Diesel,Manual,100073,Second,Chennai,2
Maruti 800 Std BSIII,2006,796 CC,Petrol,Manual,165000,First,Jaipur,0.9
Volkswagen Polo 1.2 MPI Highline,2015,1198 CC,Petrol,Manual,22000,First,Kolkata,3.8
Hyundai Elantra 2.0 SX Option AT,2017,1999 CC,Petrol,Automatic,9500,First,Delhi,16.35
Toyota Fortuner 4x2 4 Speed AT,2012,2982 CC,Diesel,Automatic,152000,First,Hyderabad,16.5
Maruti Baleno Zeta 1.2,2019,1197 CC,Petrol,Manual,17705,First,Coimbatore,8.7
Maruti Baleno Zeta 1.2,2016,1197 CC,Petrol,Manual,12000,First,Mumbai,6.1
Mini Cooper Countryman D,2013,1998 CC,Diesel,Automatic,51000,First,Hyderabad,21.94
Mercedes-Benz S Class 2005 2013 320 CDI,2009,2987 CC,Diesel,Automatic,42000,Second,Chennai,22
Maruti Alto K10 LXI,2015,998 CC,Petrol,Manual,51000,First,Delhi,2.65
Maruti Swift VXI Optional,2017,1197 CC,Petrol,Manual,42527,First,Kochi,5.27
Chevrolet Sail LT ABS,2014,1248 CC,Diesel,Manual,45000,First,Kolkata,2.48
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,2011,2494 CC,Diesel,Manual,70000,First,Kolkata,6
Toyota Fortuner 3.0 Diesel,2009,2982 CC,Diesel,Manual,92000,First,Mumbai,8.9
BMW 3 Series 320d Sport Line,2012,1995 CC,Diesel,Automatic,57156,Second,Hyderabad,18
Skoda Octavia Ambition 1.4 TSI MT,2016,1395 CC,Petrol,Manual,53211,First,Coimbatore,11.64
Toyota Fortuner 3.0 Diesel,2019,2982 CC,Diesel,Manual,80000,First,Kolkata,8.99
Volkswagen Jetta 2007-2011 1.9 Highline TDI,2009,1896 CC,Diesel,Automatic,74000,First,Bangalore,5.25
Hyundai i20 1.4 CRDi Asta,2011,1396 CC,Diesel,Manual,37000,First,Kolkata,2.95
Tata Manza Club Class Quadrajet90 LX,2013,1248 CC,Diesel,Manual,64000,Second,Mumbai,2.65
Volkswagen Vento Petrol Highline,2013,1598 CC,Petrol,Manual,57197,First,Pune,4
Hyundai Creta 1.6 SX Automatic Diesel,2016,1582 CC,Diesel,Automatic,55000,First,Chennai,12.5
Maruti Ritz VXI,2014,1197 CC,Petrol,Manual,33000,First,Mumbai,3.25
Honda CR-V 2.0L 2WD MT,2008,1997 CC,Petrol,Manual,70000,First,Delhi,4
Mahindra XUV500 W8 2WD,2012,2179 CC,Diesel,Manual,75000,Second,Delhi,6.25
Volkswagen Ameo 1.5 TDI Comfortline,2016,1498 CC,Diesel,Manual,58095,First,Jaipur,5.8
Tata Zest Revotron 1.2 XT,2015,1193 CC,Petrol,Manual,7445,First,Kolkata,5
Jaguar XJ 3.0L Portfolio LWB,2016,2993 CC,Diesel,Automatic,17652,First,Kochi,58.73
Toyota Corolla Altis 1.8 VL CVT,2018,1798 CC,Petrol,Automatic,28321,First,Kochi,17.49
Maruti A-Star Vxi,2011,998 CC,Petrol,Manual,69000,Second,Pune,1.95
Honda Accord VTi-L (AT),2007,2354 CC,Petrol,Automatic,80000,First,Mumbai,3
Hyundai i20 Asta (o),2014,1197 CC,Petrol,Manual,42365,First,Delhi,5.5
Toyota Fortuner 4x2 AT,2013,2982 CC,Diesel,Automatic,123000,First,Delhi,16.5
Mercedes-Benz New C-Class C 200 CGI Avantgarde,2011,1796 CC,Petrol,Automatic,40000,Second,Mumbai,14.5
Maruti Baleno Alpha 1.3,2016,1248 CC,Diesel,Manual,30112,First,Hyderabad,7.79
Maruti Ertiga VDI,2017,1248 CC,Diesel,Manual,43775,First,Kochi,8.27
Land Rover Range Rover Sport SE,2019,2993 CC,Diesel,Automatic,26013,First,Kochi,97.07
Chevrolet Optra Magnum 1.6 LT ABS BS3,2012,1598 CC,Petrol,Manual,56000,First,Mumbai,2.15
Honda Civic 2006-2010 1.8 V AT,2008,1799 CC,Petrol,Automatic,95000,Second,Hyderabad,3
BMW X3 xDrive20d,2014,1995 CC,Diesel,Automatic,41089,First,Coimbatore,28.79
Skoda Laura Ambition 2.0 TDI CR AT,2011,1968 CC,Diesel,Automatic,41988,First,Mumbai,5.45
Maruti Swift Dzire VDI,2013,1248 CC,Diesel,Manual,72486,First,Delhi,3.95
Volvo V40 Cross Country D3,2013,1984 CC,Diesel,Automatic,92000,First,Pune,16
Maruti Swift Dzire ZXi,2013,1298 CC,Petrol,Manual,40000,First,Delhi,4.25
Land Rover Range Rover 2.2L Pure,2014,2179 CC,Diesel,Automatic,56000,First,Bangalore,34.5
Honda Accord 2.4 AT,2008,2354 CC,Petrol,Automatic,125000,Third,Mumbai,2.6
Toyota Innova 2.5 G (Diesel) 8 Seater,2017,2494 CC,Diesel,Manual,29219,First,Kochi,13.48
Toyota Fortuner 4x4 MT,2018,2982 CC,Diesel,Manual,39927,First,Hyderabad,32.1
Honda Jazz 1.2 E i VTEC,2018,1199 CC,Petrol,Manual,38593,First,Kochi,6.17
Honda City 1.5 V MT,2015,1497 CC,Petrol,Manual,32000,First,Kolkata,5.5
Maruti Dzire AMT ZDI Plus,2017,1248 CC,Diesel,Automatic,28226,First,Hyderabad,9.15
Nissan Sunny 2011-2014 Diesel XL,2014,1461 CC,Diesel,Manual,95000,First,Pune,4.5
Toyota Innova 2.5 G (Diesel) 8 Seater,2014,2494 CC,Diesel,Manual,194000,First,Chennai,10.5
Honda Brio S MT,2016,1198 CC,Petrol,Manual,14821,First,Coimbatore,5.37
Volkswagen Vento Petrol Trendline,2012,1598 CC,Petrol,Manual,52000,First,Bangalore,5.45
Mahindra XUV500 W4,2016,2179 CC,Diesel,Manual,33000,First,Mumbai,9.25
Ford EcoSport 1.5 Diesel Titanium Plus,2016,1498 CC,Diesel,Manual,29200,First,Chennai,7.7
Skoda Yeti Ambition 4X2,2012,1968 CC,Diesel,Manual,99754,First,Hyderabad,7.99
Hyundai i10 Sportz,2012,1197 CC,Petrol,Manual,49000,First,Chennai,3
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,2005,2494 CC,Diesel,Manual,299322,First,Hyderabad,4
Tata Zest Quadrajet 1.3 XT,2018,1248 CC,Diesel,Manual,38310,First,Coimbatore,6.69
Maruti Swift VDI,2014,1248 CC,Diesel,Manual,56000,First,Delhi,4.25
Skoda Rapid 1.5 TDI AT Style,2017,1498 CC,Diesel,Automatic,31300,First,Kolkata,10.5
Toyota Innova Crysta 2.4 VX MT 8S,2019,2393 CC,Diesel,Manual,11241,First,Coimbatore,22.55
Hyundai Verna 1.6 SX VTVT,2014,1591 CC,Petrol,Manual,48000,Second,Pune,5.2
Honda City i VTEC VX Option,2019,1497 CC,Petrol,Manual,23882,First,Coimbatore,11.87
Honda City i DTEC SV,2014,1498 CC,Diesel,Manual,65000,First,Hyderabad,6.99
Volkswagen Vento Diesel Highline,2011,1598 CC,Diesel,Manual,50000,First,Jaipur,5
Audi Q5 2008-2012 3.0 TDI,2014,2967 CC,Diesel,Automatic,25000,First,Chennai,44
Maruti Alto 800 LXI,2015,796 CC,Petrol,Manual,21000,First,Chennai,2.79
Tata Manza ELAN Quadrajet BS IV,2012,1248 CC,Diesel,Manual,148000,Second,Pune,2.9
Hyundai Creta 1.6 SX Plus Dual Tone Petrol,2016,1591 CC,Petrol,Manual,68000,First,Delhi,9.85
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,2014,2987 CC,Diesel,Automatic,52000,First,Bangalore,49
Mahindra Thar CRDe,2016,2498 CC,Diesel,Manual,19000,First,Jaipur,9.25
Hyundai Verna 1.6 CRDI,2011,1582 CC,Diesel,Manual,74000,Second,Mumbai,3.75
Ford Aspire Titanium Diesel,2017,1498 CC,Diesel,Manual,30279,First,Coimbatore,7.29
Mini Cooper 3 DOOR D,2016,1496 CC,Diesel,Automatic,20000,First,Mumbai,23.5
Maruti Omni 8 Seater BSIV,2013,796 CC,Petrol,Manual,34834,First,Hyderabad,2.6
Mahindra Verito 1.5 D4 BSIV,2015,1461 CC,Diesel,Manual,90000,Second,Pune,3.1
Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,2016,2143 CC,Diesel,Automatic,38730,First,Coimbatore,29.98
Renault Duster 110PS Diesel RxZ,2016,1461 CC,Diesel,Manual,57390,First,Kochi,6.73
Maruti Swift Dzire Tour LDI,2016,1248 CC,Diesel,Manual,100000,First,Kolkata,3.5
Volkswagen Polo Petrol Highline 1.2L,2011,1198 CC,Petrol,Manual,50000,First,Kolkata,2.35
Mahindra XUV500 W10 2WD,2017,2179 CC,Diesel,Manual,64961,First,Coimbatore,16.13
Volkswagen Polo 1.2 MPI Highline,2014,1198 CC,Petrol,Manual,72465,First,Coimbatore,5.9
Maruti Ritz VXI,2012,1197 CC,Petrol,Manual,68776,First,Hyderabad,3.9
Chevrolet Optra 1.6 Elite,2005,1598 CC,Petrol,Manual,150000,First,Pune,1.5
Toyota Innova 2.5 GX 7 STR BSIV,2012,2494 CC,Diesel,Manual,68000,First,Delhi,6.95
Honda City i DTec SV,2015,1498 CC,Diesel,Manual,33000,First,Delhi,7
Volkswagen Ameo 1.2 MPI Highline,2017,1198 CC,Petrol,Manual,22389,First,Coimbatore,7.23
Maruti SX4 ZDI Leather,2012,1248 CC,Diesel,Manual,90000,First,Mumbai,3.81
Maruti Swift ZXI,2012,1197 CC,Petrol,Manual,42000,Third,Chennai,4.5
Hyundai Creta 1.6 CRDi SX,2017,1582 CC,Diesel,Manual,38767,First,Pune,12.6
Audi Q7 35 TDI Quattro Technology,2015,2967 CC,Diesel,Automatic,21000,First,Bangalore,48
Maruti Alto LXi BSIII,2010,796 CC,Petrol,Manual,59136,First,Coimbatore,2.96
Honda Amaze SX i-DTEC,2014,1498 CC,Diesel,Manual,36000,First,Kolkata,3.25
Volkswagen Passat Diesel Highline 2.0 TDI,2011,1968 CC,Diesel,Automatic,95000,Second,Chennai,8.5
Hyundai Elantra CRDi SX AT,2013,1582 CC,Diesel,Automatic,51000,First,Mumbai,8.75
Maruti Wagon R VXI BS IV,2011,998 CC,Petrol,Manual,36411,First,Kochi,3.08
Land Rover Discovery Sport TD4 HSE 7S,2017,1999 CC,Diesel,Automatic,40000,First,Mumbai,41.5
Honda City i VTEC SV,2016,1497 CC,Petrol,Manual,27300,First,Pune,7
Mercedes-Benz New C-Class C 200 Avantgarde Edition C,2011,1991 CC,Petrol,Automatic,29813,Second,Kochi,11.5
Maruti Wagon R LX BS IV,2011,998 CC,Petrol,Manual,71000,First,Pune,2.6
Hyundai Verna 1.6 CRDI,2014,1582 CC,Diesel,Manual,32000,First,Kolkata,4.3
Maruti Ertiga VXI CNG,2017,1373 CC,CNG,Manual,19234,First,Mumbai,8.35
Volkswagen Tiguan 2.0 TDI Highline,2017,1968 CC,Diesel,Automatic,50510,First,Jaipur,24.9
BMW X1 sDrive 20d Exclusive,2011,1995 CC,Diesel,Automatic,102000,First,Pune,13.75
Hyundai Grand i10 1.2 CRDi Sportz Option,2014,1186 CC,Diesel,Manual,42277,First,Kolkata,3.85
Mercedes-Benz E-Class E250 CDI Avantgrade,2014,2143 CC,Diesel,Automatic,46000,First,Mumbai,23.25
Mahindra Bolero ZLX,2012,2523 CC,Diesel,Manual,35000,First,Chennai,7
Hyundai Grand i10 Asta Option,2015,1197 CC,Petrol,Manual,50000,First,Bangalore,5.75
Hyundai i10 Magna 1.2,2008,1197 CC,Petrol,Manual,62000,Second,Mumbai,1.65
Volkswagen Jetta 2012-2014 2.0L TDI Comfortline,2012,1968 CC,Diesel,Manual,78000,First,Mumbai,6.5
Skoda Yeti Elegance,2011,1968 CC,Diesel,Manual,79000,First,Chennai,7.5
Audi Q7 45 TDI Quattro Premium Plus,2019,2967 CC,Diesel,Automatic,6773,First,Kochi,72.94
Toyota Fortuner 3.0 Diesel,2010,2982 CC,Diesel,Manual,135000,Second,Chennai,11
Maruti Wagon R VXI Minor ABS,2013,1061 CC,Petrol,Manual,36716,First,Kochi,3.02
Hyundai EON Era,2013,814 CC,Petrol,Manual,65060,First,Coimbatore,3.32
Honda Brio S MT,2013,1198 CC,Petrol,Manual,33000,First,Delhi,3.24
Maruti Alto 800 VXI,2015,796 CC,Petrol,Manual,11110,First,Kolkata,2.35
Mahindra Bolero ZLX,2013,2523 CC,Diesel,Manual,63000,First,Jaipur,5.5
Honda City i VTEC SV,2015,1497 CC,Petrol,Manual,27030,First,Mumbai,6.75
Skoda Rapid 1.6 MPI Elegance Black Package,2015,1598 CC,Petrol,Manual,19600,First,Mumbai,6.15
Maruti Swift VVT VXI,2016,1197 CC,Petrol,Manual,27755,First,Pune,5.45
Hyundai EON Magna Plus,2013,814 CC,Petrol,Manual,20000,Second,Hyderabad,2.3
Maruti Swift Dzire ZXI,2015,1197 CC,Petrol,Manual,24782,First,Kochi,6.21
Nissan Micra XV CVT,2014,1198 CC,Petrol,Automatic,47303,First,Coimbatore,5.21
Audi Q7 4.2 FSI quattro,2008,4134 CC,Petrol,Automatic,71000,First,Delhi,11.99
Maruti Swift Vdi BSIII,2010,1248 CC,Diesel,Manual,135000,First,Pune,3.1
Tata Xenon XT EX 4X2,2017,2179 CC,Diesel,Manual,1000,First,Jaipur,7.5
Volkswagen Polo 1.5 TDI Comfortline,2016,1498 CC,Diesel,Manual,29000,First,Kolkata,4
Honda City i VTEC SV,2016,1497 CC,Petrol,Manual,36367,First,Kochi,7.73
Honda City i VTEC V,2015,1497 CC,Petrol,Manual,38000,First,Bangalore,7.8
Maruti 800 AC BSIII,2011,796 CC,Petrol,Manual,83969,First,Hyderabad,1.3
Volkswagen Polo 1.5 TDI Trendline,2014,1498 CC,Diesel,Manual,82621,First,Jaipur,4.42
Chevrolet Captiva LTZ VCDi,2009,1991 CC,Diesel,Automatic,89000,First,Pune,4
Mahindra XUV500 W10 2WD,2016,2179 CC,Diesel,Manual,54000,First,Kolkata,13
Honda Amaze VX i-DTEC,2015,1498 CC,Diesel,Manual,61691,First,Kochi,5.38
Hyundai i20 1.2 Sportz Option,2011,1197 CC,Petrol,Manual,32200,Second,Chennai,3.25
Maruti Wagon R AMT VXI,2016,998 CC,Petrol,Automatic,68630,First,Jaipur,3.87
Volkswagen Jetta 2013-2015 2.0L TDI Highline AT,2014,1968 CC,Diesel,Automatic,61000,Second,Mumbai,8.25
Maruti Ciaz 1.4 Zeta,2018,1373 CC,Petrol,Manual,32644,First,Mumbai,9.28
Mahindra Scorpio 2009-2014 VLX 4WD AT 7S BSIV,2012,2179 CC,Diesel,Automatic,85000,First,Delhi,6.25
Chevrolet Aveo U-VA 1.2 LS,2008,1150 CC,Petrol,Manual,75000,Second,Mumbai,1.15
Maruti Ciaz ZXi Option,2016,1373 CC,Petrol,Manual,40347,First,Kochi,7.8
Hyundai i20 1.4 CRDi Asta,2012,1396 CC,Diesel,Manual,60788,First,Hyderabad,4.5
Honda Jazz 1.2 SV i VTEC,2018,1199 CC,Petrol,Manual,18664,First,Kochi,7.56
Mahindra XUV500 W10 2WD,2017,2179 CC,Diesel,Manual,57847,First,Coimbatore,16.08
Hyundai i20 1.2 Sportz,2012,1197 CC,Petrol,Manual,52237,First,Bangalore,4.5
Hyundai Verna 1.6 SX,2012,1582 CC,Diesel,Manual,128000,First,Chennai,5
Hyundai i10 Era 1.1,2011,1086 CC,Petrol,Manual,54000,First,Delhi,2.2
Maruti Celerio VXI AT,2014,998 CC,Petrol,Automatic,49800,First,Bangalore,4
Skoda Fabia 1.2 TDI Ambition,2012,1199 CC,Diesel,Manual,98000,First,Kolkata,2.51
Maruti Swift VDI BSIV,2015,1248 CC,Diesel,Manual,60095,First,Delhi,4.75
Hyundai i10 Magna(O) with Sun Roof,2008,1086 CC,Petrol,Manual,68000,Second,Pune,2
Hyundai i10 Magna 1.2,2010,1197 CC,Petrol,Manual,81402,Second,Jaipur,2.1
Ford Ecosport 1.5 Ti VCT AT Titanium,2013,1499 CC,Petrol,Automatic,38000,First,Mumbai,6.25
Mercedes-Benz E-Class 2009-2013 E350 CDI Avantgarde,2011,2987 CC,Diesel,Automatic,92239,Second,Kochi,10.6
Maruti Swift VDI BSIV,2017,1248 CC,Diesel,Manual,49224,First,Ahmedabad,6
Maruti 800 Std BSIII,2004,796 CC,Petrol,Manual,12000,Second,Jaipur,0.45
